Group,Name,d15N_T1_Mean,d15N_T1_StDev,d15N_T1_Count,d15N_T1_StErr,NDFA_T1_B73xMo17-ref_Mean,NDFA_T1_B73xMo17-ref_SD,NDFA_T1_B73xMo17-ref_Count,NDFA_T1_B73xMo17-ref_SE,NDFA_T1_B73-ref_Mean,NDFA_T1_B73-ref_SD,NDFA_T1_B73-ref_Count,NDFA_T1_B73-ref_SE,AR_Nodes_Mean,AR_Nodes_StDev,AR_Nodes_Count,AR_Nodes_StErr,Trait
Lowland,* Jaltepec de Candoyoc,-0.81,0.55,3,0.32,116.05,10.87,3.00,6.28,112.10,8.20,3.00,4.73,3.50,0.71,2,0.50,% NDFA
Lowland,* Lowland cultivar 5A,-0.73,1.03,17,0.25,114.46,20.46,17.00,4.96,110.90,15.43,17.00,3.74,3.13,1.06,15,0.27,% NDFA
Lowland,* San Marcos Moctum,-0.41,NA,1,NA,108.12,NA,1.00,NA,106.12,NA,1.00,NA,4.00,NA,1,NA,% NDFA
Lowland,* San Ildefonso Villa Alta,1.45,1.36,19,0.31,71.37,26.94,19.00,6.18,78.41,20.31,19.00,4.66,4.87,1.19,15,0.31,% NDFA
Lowland,* Santa Maria Temaxcalapa,1.96,1.20,28,0.23,61.24,23.78,28.00,4.49,70.78,17.93,28.00,3.39,3.86,1.29,14,0.35,% NDFA
Lowland,"* Jala, Nayarit",2.96,2.35,25,0.47,41.33,46.65,25.00,9.33,55.77,35.17,25.00,7.03,2.40,1.30,15,0.34,% NDFA
Lowland,* San Juan Comaltepec,2.97,2.13,24,0.44,41.24,42.30,24.00,8.63,55.70,31.89,24.00,6.51,4.15,1.28,13,0.36,% NDFA
Lowland,* San Cristobal Lachirioag,3.66,1.96,25,0.39,27.43,38.80,25.00,7.76,45.29,29.25,25.00,5.85,3.41,1.70,17,0.41,% NDFA
Lowland,* Santiago Choapam,3.98,4.11,3,2.37,21.19,81.47,3.00,47.03,40.59,61.42,3.00,35.46,5.00,1.41,2,1.00,% NDFA
Lowland,* San Jose Chinantequilla,7.12,3.79,25,0.76,-40.99,75.07,25.00,15.01,-6.29,56.59,25.00,11.32,3.69,2.06,13,0.57,% NDFA
Lowland,* Santiago Tepitongo,8.56,2.57,25,0.51,-69.68,50.83,25.00,10.17,-27.92,38.32,25.00,7.66,3.20,1.26,15,0.33,% NDFA
Highland,** Santa Maria Tiltepec,1.47,1.14,24,0.23,70.91,22.69,24.00,4.63,78.07,17.10,24.00,3.49,5.53,1.46,15,0.38,% NDFA
Highland,** Totontepec cultivar 3,1.62,1.41,21,0.31,67.96,27.92,21.00,6.09,75.85,21.05,21.00,4.59,3.86,1.88,14,0.50,% NDFA
Highland,"** Venustiano Carranza, DG",3.09,1.38,6,0.56,38.76,27.40,6.00,11.19,53.83,20.66,6.00,8.43,1.17,0.75,6,0.31,% NDFA
Highland,** Totontepec cultivar 2,3.60,1.77,26,0.35,28.70,35.01,26.00,6.87,46.25,26.39,26.00,5.18,4.27,1.44,15,0.37,% NDFA
Highland,** San Miguel Metepec,5.88,1.64,24,0.33,-16.57,32.45,24.00,6.62,12.12,24.46,24.00,4.99,3.21,1.19,14,0.32,AR Nodes
Highland,** Totontepec cultivar 1,7.58,1.38,14,0.37,-50.25,27.38,14.00,7.32,-13.28,20.64,14.00,5.52,5.20,0.79,10,0.25,AR Nodes
Teosinte,*** Zea mays L. spp. mexicana,1.41,1.68,25,0.34,72.13,33.27,25.00,6.65,78.99,25.08,25.00,5.02,3.20,1.78,15,0.46,AR Nodes
Teosinte,*** Zea diploperennis,2.63,0.94,7,0.35,47.88,18.54,7.00,7.01,60.71,13.98,7.00,5.28,5.33,1.51,6,0.61,AR Nodes
Teosinte,*** Zea mays L. spp. parviglumis,3.30,1.06,24,0.22,34.58,21.04,24.00,4.30,50.68,15.87,24.00,3.24,2.13,1.13,15,0.29,AR Nodes
Modern,**** Mo17,4.58,0.93,22,0.20,9.33,18.33,22.00,3.91,31.64,13.82,22.00,2.95,1.14,0.53,14,0.14,AR Nodes
Modern,**** B73,6.69,1.94,27,0.37,-32.64,38.35,27.00,7.38,0.00,28.91,27.00,5.56,1.86,0.36,14,0.10,AR Nodes
Modern,**** Hickory King,8.40,1.20,28,0.23,-66.36,23.83,28.00,4.50,-25.42,17.96,28.00,3.39,0.87,0.52,15,0.13,AR Nodes
Modern,***** B73 x Mo17 (1A),10.34,1.89,28,0.36,NA,NA,NA,NA,-54.41,28.19,28.00,5.33,1.20,0.68,15,0.17,AR Nodes
Modern,***** B73 x Mo17 (1D),3.12,1.15,26,0.23,NA,NA,NA,NA,56.78,20.58,28.00,3.89,0.93,0.26,15,0.07,AR Nodes
Modern,***** B73 x Mo17 (3C),7.72,2.67,22,0.57,NA,NA,NA,NA,6.00,58.03,27.00,11.17,0.73,0.46,15,0.12,AR Nodes
Modern,***** B73 x Mo17 (5B),5.35,2.64,27,0.51,NA,NA,NA,NA,22.95,41.59,28.00,7.86,1.11,0.46,19,0.11,AR Nodes
Modern,***** B73 x Mo17 (7A),1.90,1.26,27,0.24,NA,NA,NA,NA,72.70,19.24,28.00,3.64,1.00,0.53,15,0.14,AR Nodes
Modern,***** B73 x Mo17 (7D),1.98,0.91,26,0.18,NA,NA,NA,NA,72.60,15.25,28.00,2.88,1.13,0.62,16,0.15,AR Nodes
Modern,****** B73 x Mo17 (Avg.*),5.06,3.67,155,0.29,NA,NA,NA,NA,29.58,56.06,167.00,4.34,1.02,0.53,95,0.05,AR Nodes